dataset,hidden_dim_1,hidden_dim_2,dropout,learning_rate,num_epochs,num_layers,aucroc,loss
CollegeMsg,64,256,0.001,0.35,750,3,0.7029914529914529,40469.626302083336
CollegeMsg,64,256,0.001,0.35,1000,3,0.5757575757575758,40087.477864583336
CollegeMsg,64,32,0.0001,0.2,500,3,0.7029914529914529,10327.704752604166
CollegeMsg,64,32,0.0001,0.2,750,3,0.6785714285714286,18434.921875
CollegeMsg,64,32,0.0001,0.2,1000,3,0.6785714285714286,23935.813802083332
networkadex,64,32,0.0001,0.2,500,3,0.518140589569161,174932.560546875
networkadex,64,32,0.0001,0.2,750,3,0.45512820512820507,393431.1171875
networkadex,64,32,0.0001,0.2,1000,3,0.5476190476190477,440453.1875
networkadex,64,32,0.001,0.2,500,3,0.4915966386554621,450937.96875
networkadex,64,32,0.001,0.2,750,3,0.5424242424242425,450815.2734375
networkadex,64,32,0.001,0.2,1000,3,0.4915966386554621,449301.828125
networkadex,64,64,0.0001,0.2,500,3,0.49245283018867925,377223.96484375
networkadex,64,64,0.0001,0.2,750,3,0.5424242424242425,438760.546875
networkadex,64,64,0.0001,0.2,1000,3,0.5424242424242425,459504.9140625
networkadex,64,64,0.001,0.2,500,3,0.5424242424242425,454546.296875
networkadex,64,64,0.001,0.2,750,3,0.4915966386554621,452611.109375
networkadex,64,64,0.001,0.2,1000,3,0.5424242424242425,458503.109375
