Epoch 100 | Edge Type: o-o-nobank | Train Loss: 59.9804 | Train AUCROC 0.8283
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 59.2170 | Train AUCROC 0.8324
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 57.7340 | Train AUCROC 0.8405
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 56.8147 | Train AUCROC 0.8453
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 56.1182 | Train AUCROC 0.8496

Epoch 100 | Edge Type: o-n | Train Loss: 15.8312 | Train AUCROC 0.8648
Epoch 200 | Edge Type: o-n | Train Loss: 15.0691 | Train AUCROC 0.8774
Epoch 300 | Edge Type: o-n | Train Loss: 13.9104 | Train AUCROC 0.8993
Epoch 400 | Edge Type: o-n | Train Loss: 13.8017 | Train AUCROC 0.9003
Epoch 500 | Edge Type: o-n | Train Loss: 13.4951 | Train AUCROC 0.9054

Epoch 100 | Edge Type: n-n | Train Loss: 1.5710 | Train AUCROC 0.9148
Epoch 200 | Edge Type: n-n | Train Loss: 1.6991 | Train AUCROC 0.9087
Epoch 300 | Edge Type: n-n | Train Loss: 1.7673 | Train AUCROC 0.9159
Epoch 400 | Edge Type: n-n | Train Loss: 1.7721 | Train AUCROC 0.9182
Epoch 500 | Edge Type: n-n | Train Loss: 1.4644 | Train AUCROC 0.9176

Epoch 100 | Edge Type: o-o-bank | Train Loss: 182.9114 | Train AUCROC 0.7375
Epoch 200 | Edge Type: o-o-bank | Train Loss: 176.5844 | Train AUCROC 0.7602
Epoch 300 | Edge Type: o-o-bank | Train Loss: 174.6984 | Train AUCROC 0.7668
Epoch 400 | Edge Type: o-o-bank | Train Loss: 172.4815 | Train AUCROC 0.7722
Epoch 500 | Edge Type: o-o-bank | Train Loss: 172.4267 | Train AUCROC 0.7722

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 71.1400 | Train AUCROC 0.8326
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 68.6756 | Train AUCROC 0.8409
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 67.6360 | Train AUCROC 0.8471
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 67.2865 | Train AUCROC 0.8487
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 66.8307 | Train AUCROC 0.8505

Epoch 100 | Edge Type: o-n | Train Loss: 24.2515 | Train AUCROC 0.7855
Epoch 200 | Edge Type: o-n | Train Loss: 22.3211 | Train AUCROC 0.8197
Epoch 300 | Edge Type: o-n | Train Loss: 21.5575 | Train AUCROC 0.8263
Epoch 400 | Edge Type: o-n | Train Loss: 21.5391 | Train AUCROC 0.8428
Epoch 500 | Edge Type: o-n | Train Loss: 21.0905 | Train AUCROC 0.8397

Epoch 100 | Edge Type: n-n | Train Loss: 2.1608 | Train AUCROC 0.9458
Epoch 200 | Edge Type: n-n | Train Loss: 1.9453 | Train AUCROC 0.9502
Epoch 300 | Edge Type: n-n | Train Loss: 2.3170 | Train AUCROC 0.9523
Epoch 400 | Edge Type: n-n | Train Loss: 1.8764 | Train AUCROC 0.9540
Epoch 500 | Edge Type: n-n | Train Loss: 1.8405 | Train AUCROC 0.9541

Epoch 100 | Edge Type: o-o-bank | Train Loss: 223.2746 | Train AUCROC 0.7115
Epoch 200 | Edge Type: o-o-bank | Train Loss: 216.7509 | Train AUCROC 0.7331
Epoch 300 | Edge Type: o-o-bank | Train Loss: 210.8991 | Train AUCROC 0.7526
Epoch 400 | Edge Type: o-o-bank | Train Loss: 208.6569 | Train AUCROC 0.7624
Epoch 500 | Edge Type: o-o-bank | Train Loss: 204.8253 | Train AUCROC 0.7735

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 86.8951 | Train AUCROC 0.8278
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 85.7091 | Train AUCROC 0.8352
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 84.1103 | Train AUCROC 0.8391
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 84.2807 | Train AUCROC 0.8401
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 83.3262 | Train AUCROC 0.8437

Epoch 100 | Edge Type: o-n | Train Loss: 26.7144 | Train AUCROC 0.7761
Epoch 200 | Edge Type: o-n | Train Loss: 25.6617 | Train AUCROC 0.8003
Epoch 300 | Edge Type: o-n | Train Loss: 24.6997 | Train AUCROC 0.8198
Epoch 400 | Edge Type: o-n | Train Loss: 23.5759 | Train AUCROC 0.8384
Epoch 500 | Edge Type: o-n | Train Loss: 23.5288 | Train AUCROC 0.8387

Epoch 100 | Edge Type: n-n | Train Loss: 188.6139 | Train AUCROC 0.5717
Epoch 200 | Edge Type: n-n | Train Loss: 192.9563 | Train AUCROC 0.5864
Epoch 300 | Edge Type: n-n | Train Loss: 197.2090 | Train AUCROC 0.5882
Epoch 400 | Edge Type: n-n | Train Loss: 197.2296 | Train AUCROC 0.5870
Epoch 500 | Edge Type: n-n | Train Loss: 197.2077 | Train AUCROC 0.5892

Epoch 100 | Edge Type: o-o-bank | Train Loss: 264.5422 | Train AUCROC 0.7147
Epoch 200 | Edge Type: o-o-bank | Train Loss: 257.4899 | Train AUCROC 0.7360
Epoch 300 | Edge Type: o-o-bank | Train Loss: 255.1116 | Train AUCROC 0.7424
Epoch 400 | Edge Type: o-o-bank | Train Loss: 253.7908 | Train AUCROC 0.7452
Epoch 500 | Edge Type: o-o-bank | Train Loss: 252.9083 | Train AUCROC 0.7482

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 103.7582 | Train AUCROC 0.8206
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 100.5800 | Train AUCROC 0.8322
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 100.0438 | Train AUCROC 0.8349
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 98.9681 | Train AUCROC 0.8373
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 98.5251 | Train AUCROC 0.8396

Epoch 100 | Edge Type: o-n | Train Loss: 28.8550 | Train AUCROC 0.7961
Epoch 200 | Edge Type: o-n | Train Loss: 27.9739 | Train AUCROC 0.8167
Epoch 300 | Edge Type: o-n | Train Loss: 27.2198 | Train AUCROC 0.8228
Epoch 400 | Edge Type: o-n | Train Loss: 27.0734 | Train AUCROC 0.8277
Epoch 500 | Edge Type: o-n | Train Loss: 26.1558 | Train AUCROC 0.8411

Epoch 100 | Edge Type: n-n | Train Loss: 2.3471 | Train AUCROC 0.9488
Epoch 200 | Edge Type: n-n | Train Loss: 2.1177 | Train AUCROC 0.9576
Epoch 300 | Edge Type: n-n | Train Loss: 2.0446 | Train AUCROC 0.9597
Epoch 400 | Edge Type: n-n | Train Loss: 2.2480 | Train AUCROC 0.9573
Epoch 500 | Edge Type: n-n | Train Loss: 2.0704 | Train AUCROC 0.9603

Epoch 100 | Edge Type: o-o-bank | Train Loss: 312.5935 | Train AUCROC 0.7032
Epoch 200 | Edge Type: o-o-bank | Train Loss: 307.4816 | Train AUCROC 0.7176
Epoch 300 | Edge Type: o-o-bank | Train Loss: 305.8438 | Train AUCROC 0.7216
Epoch 400 | Edge Type: o-o-bank | Train Loss: 305.8318 | Train AUCROC 0.7229
Epoch 500 | Edge Type: o-o-bank | Train Loss: 304.8765 | Train AUCROC 0.7242

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 121.8200 | Train AUCROC 0.8158
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 119.6566 | Train AUCROC 0.8249
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 119.3388 | Train AUCROC 0.8242
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 118.0075 | Train AUCROC 0.8288
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 117.8500 | Train AUCROC 0.8291

