model_type,lr,feature_dim,hidden_dim,num_layers,dropout,batch_size,trained_epochs,predictor_type,train_loss,valid_loss,test_loss,train_aucroc,valid_aucroc,test_aucroc,train_precision,valid_precision,test_precision,train_recall,valid_recall,test_recall,train_f1,valid_f1,test_f1
GCN_binary_lr0.001,0.01,64,64,2,0.2,32,247,MLP,0.6620116197102442,0.6804562445197787,0.6966574770031553,0.6112763950563825,0.6002377581513051,0.5449282990303794,0.6435179763438341,0.6560747663551402,0.6237864077669902,0.40733876945885844,0.393057110862262,0.24783027965284474,0.4988878296790594,0.49159663865546216,0.3547273982056591
GCN_binary_lr0.001,0.01,64,64,3,0.2,32,9,MLP,0.6748719682908171,0.6713272333145142,0.6911235433636289,0.6043620566204767,0.6022598310362169,0.537637313331517,0.5862614751503641,0.5798969072164949,0.5143638850889193,0.5491475166790215,0.503919372900336,0.36258437801350046,0.5670979101278419,0.5392450569203115,0.4253393665158371
GCN_binary_lr0.001,0.01,64,64,1,0.3,32,20,MLP,0.6710409789006292,0.666364141872951,0.6906056873726122,0.6023211411577419,0.5982012642814776,0.5246719963101037,0.592270369750711,0.594222833562586,0.5233918128654971,0.5248332097850259,0.48376259798432253,0.3452266152362584,0.5565162710265682,0.5333333333333333,0.4160371876815805
GCN_binary_lr0.001,0.01,64,64,2,0.3,32,226,MLP,0.6613826811737359,0.6806739057813372,0.6981671199654088,0.6108081185799985,0.6001794472122983,0.5455657546386402,0.6345362642529682,0.6521739130434783,0.6269113149847095,0.40014825796886583,0.3023516237402016,0.19768563162970107,0.49079419920898304,0.4131599081866871,0.30058651026392963
GCN_binary_lr0.001,0.01,64,64,3,0.3,32,241,MLP,0.6614799934187772,0.6882720227752414,0.715647077921665,0.6146597375207508,0.6124259984024057,0.5465291448795715,0.6272263187748156,0.662109375,0.5720524017467249,0.4098591549295775,0.3796192609182531,0.25265188042430087,0.4957632817753867,0.4825622775800712,0.3505016722408027
GCN_binary_lr0.001,0.01,64,128,1,0,32,22,MLP,0.6715707776105799,0.6741266250610352,0.6932568261117646,0.6046000991317183,0.6029733562898694,0.551442342116985,0.5947194719471948,0.5825977301387137,0.5394190871369294,0.5343217197924388,0.5173572228443449,0.3760848601735776,0.5629051151893791,0.5480427046263345,0.4431818181818182
GCN_binary_lr0.001,0.01,64,128,2,0,32,89,MLP,0.661472838848688,0.6599167053188596,0.6959801135641156,0.614569257847424,0.6079172461185606,0.5453797719666459,0.6026484550678771,0.5965608465608465,0.5380281690140845,0.5363973313565604,0.5050391937290034,0.36837029893924783,0.5675961877867984,0.5469981807155853,0.4373211219232971
GCN_binary_lr0.001,0.01,64,128,3,0,32,18,MLP,0.6683789316511832,0.6749131104775837,0.683279837622787,0.6080813808762605,0.5977661267366315,0.5556622889445391,0.5851840698637356,0.5721040189125296,0.5388471177944862,0.5762045959970349,0.541993281075028,0.4146576663452266,0.5806596197661823,0.5566417481311098,0.46866485013623976
GCN_binary_lr0.001,0.01,64,128,1,0.1,32,24,MLP,0.6676795222747948,0.6650019309350422,0.6770544304992213,0.607236879197231,0.5988420576112077,0.542759276118244,0.6073477697575421,0.5872576177285319,0.5456110154905336,0.4865085248332098,0.4748040313549832,0.3056894889103182,0.5402535396773132,0.525077399380805,0.39184177997527814
GCN_binary_lr0.001,0.01,64,128,2,0.1,32,117,MLP,0.6836250301856566,0.7248722357409341,0.7209325703707609,0.602517860469359,0.5971102854226414,0.5511210570511146,0.5910736842105263,0.5740112994350283,0.5523415977961432,0.5203113417346182,0.568868980963046,0.3866923818707811,0.5534397792233392,0.5714285714285714,0.4549064095292116
GCN_binary_lr0.001,0.01,64,128,3,0.1,32,1,MLP,0.6833074444560643,0.6686436661652156,0.6819374561309814,0.5789602297174252,0.6023231579699767,0.5512596141417504,0.5576103500761035,0.5691056910569106,0.5335051546391752,0.5431430689399556,0.5487122060470325,0.39922854387656703,0.5502816372512205,0.5587229190421893,0.4567015995587424
GCN_binary_lr0.001,0.01,64,128,1,0.2,32,215,MLP,0.6606980887069521,0.6561547006879535,0.6892483107971422,0.6140205879653874,0.6108729210269247,0.5485247389500719,0.6081840064188285,0.6145833333333334,0.5516666666666666,0.5057079318013343,0.46248600223964165,0.3191899710703954,0.5522321609260533,0.5277955271565495,0.4043982895540623
