Epoch: 35 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.4999 | GPU: 0.0MiB
Epoch: 36 | Edge Type: o-o-bank | Train Loss: 0.6961 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 36 | Edge Type: o-o-nobank | Train Loss: 0.6437 | Train AUCROC: 0.4866 | GPU: 0.0MiB
Epoch: 36 | Edge Type: o-n | Train Loss: 0.6869 | Train AUCROC: 0.5005 | GPU: 0.0MiB
Epoch: 36 | Edge Type: n-n | Train Loss: 0.7229 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 37 | Edge Type: o-o-bank | Train Loss: 0.6953 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 37 | Edge Type: o-o-nobank | Train Loss: 0.6429 | Train AUCROC: 0.5143 | GPU: 0.0MiB
Epoch: 37 | Edge Type: o-n | Train Loss: 0.6870 | Train AUCROC: 0.4980 | GPU: 0.0MiB
Epoch: 37 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.4999 | GPU: 0.0MiB
Epoch: 38 | Edge Type: o-o-bank | Train Loss: 0.6944 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 38 | Edge Type: o-o-nobank | Train Loss: 0.6423 | Train AUCROC: 0.4725 | GPU: 0.0MiB
Epoch: 38 | Edge Type: o-n | Train Loss: 0.6861 | Train AUCROC: 0.4977 | GPU: 0.0MiB
Epoch: 38 | Edge Type: n-n | Train Loss: 0.7232 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 39 | Edge Type: o-o-bank | Train Loss: 0.6935 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 39 | Edge Type: o-o-nobank | Train Loss: 0.6417 | Train AUCROC: 0.5122 | GPU: 0.0MiB
Epoch: 39 | Edge Type: o-n | Train Loss: 0.6865 | Train AUCROC: 0.4999 | GPU: 0.0MiB
Epoch: 39 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5004 | GPU: 0.0MiB
Epoch: 40 | Edge Type: o-o-bank | Train Loss: 0.6926 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 40 | Edge Type: o-o-nobank | Train Loss: 0.6404 | Train AUCROC: 0.4844 | GPU: 0.0MiB
Epoch: 40 | Edge Type: o-n | Train Loss: 0.6858 | Train AUCROC: 0.5009 | GPU: 0.0MiB
Epoch: 40 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 41 | Edge Type: o-o-bank | Train Loss: 0.6917 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 41 | Edge Type: o-o-nobank | Train Loss: 0.6394 | Train AUCROC: 0.4873 | GPU: 0.0MiB
Epoch: 41 | Edge Type: o-n | Train Loss: 0.6854 | Train AUCROC: 0.4973 | GPU: 0.0MiB
Epoch: 41 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 42 | Edge Type: o-o-bank | Train Loss: 0.6908 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 42 | Edge Type: o-o-nobank | Train Loss: 0.6386 | Train AUCROC: 0.5145 | GPU: 0.0MiB
Epoch: 42 | Edge Type: o-n | Train Loss: 0.6856 | Train AUCROC: 0.4993 | GPU: 0.0MiB
Epoch: 42 | Edge Type: n-n | Train Loss: 0.7233 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 43 | Edge Type: o-o-bank | Train Loss: 0.6900 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 43 | Edge Type: o-o-nobank | Train Loss: 0.6375 | Train AUCROC: 0.5026 | GPU: 0.0MiB
